hhid,region,urbrur,hhsize,land_ownership,land_area,landcul,landless,TLU_total,thhagasset,hhdurval,wealth,wealth_urb,wealth_rur,femhead,agehead,hhlabor,flabor,flaborshare,educadult,educhead,d_mobile,d_computer,d_internet,electricity,ownhome,distprschool,distsecschool,disthealth,distbus,distroad,distbank,distpost,agrassetNT,agrassetT,pcexpusd,exppcday,hhdurvalimp_tech,MVadoption,mixed_crop,erosion,anti_erosion,shock_1,shock_2,shock_3,shock_4,shock_5,shock_6,shock_7,shock_8,shock_9,shock_10,shock_11,shock_12,shock_13,shock_14,shock_15,shock_16,shock_17,shock_18,shock_19,m_10km,m_15km,m_20km,food_insecur,dummy_erosion,distextension_servoffice,distperiodic_market,distpermanent_market,dcrop_prod,rainfall2,rainfall3,distrib_rainfall3,length_heatperiod2,length_heatperiod3,more_drought1,more_floods1,delay_rainy_season1,earlierend_rainy_season1,pl,poor,dsmall,l1_precip_z,precip_z_neg,precip_z_pos,precip_z_low,precip_z_high,precip_z_low_yrbefore,precip_z_high_yrbefore,precip_z_neg_yrbefore,precip_z_pos_yrbefore,extra_temp_max29,l1_extra_temp29,modern_inputs_1,ln_farmsize,ln_areacultiv,ln_educ,ageheadsqure,logage,logagehead2,ln_hhsize,ln_distextension_servoffice,ln_distpermanent_market,ln_total_livstocksize,tractor,cooperative,field_help,irrig_programme,dum_cropresid,dum_organ_fert,dum_inorgan_fert,dum_subjective_neg_affect,sandy_soil,loamy_soil,clay_soil,hill_topog,plain_topog,gentleslope_topog,steepslope_topog,valley_topog,modern_inputs
1012,1,2,5,1,.5,.5,0,.44999999,85500,1241000,-.48124439,0,-.31989437,0,30,1,1,1,0,0,0,0,0,0,1,0,0,7,80,50,200,200,3,0,256.46445,.70264232,1241000,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27633,53750,0,0,80,200,15,1,0,1,1,0,1,1,0,1,1,182635.2,1,1,1.2154269,0,1,0,0,0,1,0,1,115.61481,116.6264,0,.4054651,.4054651,0,900,3.4339871,6.8035054,1.7917595,4.3944492,2.7725887,.37156355,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1012,1,2,5,0,.26339999,0,1,1.55,142000,1021500,-.31002498,0,-.18108855,1,28,1,1,1,0,0,0,0,0,0,1,65,40,13,60,45,65,60,6,0,221.23981,.60613644,1021500,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27633,53750,1,0,40,24,60,0,1,0,1,0,1,0,0,1,1,176621.91,1,1,.61611778,0,1,0,0,0,0,0,1,137.76176,140.0042,0,.23380649,0,0,784,3.3672957,6.6656837,1.7917595,3.713572,4.1108737,.93609333,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1013,1,2,7,1,1,1.0286,0,1.8,121500,1609000,-.46173972,0,-.3150447,0,35,1,1,1,0,0,0,0,0,0,1,0,0,7,80,50,200,200,4,0,181.26205,.49660838,1609000,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27633,53750,0,0,80,200,15,1,1,0,1,0,1,1,0,1,1,182635.2,1,1,1.2154269,0,1,0,0,0,1,0,1,115.61481,116.6264,0,.69314718,.7073459,0,1225,3.583519,7.1115122,2.0794415,4.3944492,2.7725887,1.0296195,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1013,1,2,7,0,.1811,0,1,4.6499996,238800,510250,-.39922786,0,-.21812481,0,33,1,1,1,0,0,0,0,0,0,1,65,40,13,60,45,65,60,10,0,214.515,.58771235,510250,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27633,53750,1,0,40,24,60,1,1,0,1,0,1,1,0,1,1,176621.91,1,1,.61611778,0,1,0,0,0,0,0,1,137.76176,140.0042,0,.16644621,0,0,1089,3.5263605,6.9939332,2.0794415,3.713572,4.1108737,1.7316555,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1014,1,2,6,0,.5,0,1,1.8499999,121750,350000,-.52025372,0,-.32959369,0,63,1,1,1,0,0,0,0,0,0,1,0,0,7,80,50,200,200,4,0,165.795,.45423287,350000,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27633,53750,0,0,80,200,15,1,1,0,1,0,1,1,0,0,1,182635.2,1,1,1.2154269,0,1,0,0,0,1,0,1,115.61481,116.6264,0,.4054651,0,0,3969,4.1588831,8.286521,1.9459101,4.3944492,2.7725887,1.0473189,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1014,1,2,4,0,.1811,0,1,0,131500,365000,-.48294926,0,-.21884181,0,66,0,0,0,0,0,0,0,0,0,1,65,40,13,60,45,65,60,6,0,273.33905,.74887413,365000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27633,53750,0,0,40,24,60,1,0,0,1,0,1,1,0,1,1,176621.91,1,1,.61611778,0,1,0,0,0,0,0,1,137.76176,140.0042,0,.16644621,0,0,4356,4.2046928,8.3795395,1.6094379,3.713572,4.1108737,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1015,1,2,3,1,2.9725001,2.9725001,0,2.05,168500,1521000,-.46689299,0,-.29578772,1,20,1,1,1,0,0,0,0,0,0,1,0,0,7,80,50,200,200,6,0,270.56339,.74126953,1521000,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27633,53750,0,0,80,200,15,1,1,0,1,0,1,1,0,1,1,182635.2,1,1,1.2154269,0,1,0,0,0,1,0,1,115.61481,116.6264,0,1.3793956,1.3793956,0,400,3.0445225,5.9939613,1.3862944,4.3944492,2.7725887,1.1151416,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1015,1,2,6,0,.5,0,1,1.3000001,341150,725000,-.47746778,0,-.18252255,0,38,1,1,1,0,0,0,0,0,0,1,65,40,13,60,45,65,60,16,0,329.67786,.90322703,725000,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27633,53750,0,0,40,24,60,1,1,0,1,0,0,1,0,0,1,176621.91,1,1,.61611778,0,1,0,0,0,0,0,1,137.76176,140.0042,0,.4054651,0,0,1444,3.6635616,7.2758646,1.9459101,3.713572,4.1108737,.83290917,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1016,1,2,5,1,1.3896,1.3896,0,2.0999999,214000,1186000,-.48124439,0,-.31989437,0,47,1,1,1,0,0,0,0,0,0,1,0,0,7,80,50,200,200,7,0,220.08574,.60297465,1186000,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27633,53750,0,0,80,200,15,1,1,0,1,0,1,1,0,1,1,182635.2,1,1,1.2154269,0,1,0,0,0,1,0,1,115.61481,116.6264,0,.871126,.871126,0,2209,3.871201,7.700748,1.7917595,4.3944492,2.7725887,1.1314021,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1016,1,2,6,0,.1811,0,1,2.4000001,141250,355000,-.48294926,0,-.21884181,0,61,1,1,1,0,0,0,0,0,0,1,65,40,13,60,45,65,60,6,0,267.1864,.73201752,355000,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27633,53750,0,0,40,24,60,1,1,0,0,0,0,1,0,0,1,176621.91,1,1,.61611778,0,1,0,0,0,0,0,1,137.76176,140.0042,0,.16644621,0,0,3721,4.1271343,8.2220163,1.9459101,3.713572,4.1108737,1.2237755,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1017,1,2,4,1,1.9678,1.9678,0,.89999998,120500,1201000,-.48124439,0,-.31989437,1,40,1,1,1,0,0,0,0,0,0,1,0,0,7,80,50,200,200,4,0,199.0937,.54546219,1201000,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27633,53750,1,0,80,200,15,1,0,1,1,0,1,1,0,1,1,182635.2,1,1,1.2154269,0,1,0,0,0,1,0,1,115.61481,116.6264,0,1.0878209,1.0878209,0,1600,3.713572,7.3783836,1.6094379,4.3944492,2.7725887,.64185387,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1017,1,2,3,0,1.9170001,0,1,0,107000,695000,-.41089076,0,-.17218825,1,43,1,1,1,0,0,0,0,0,0,1,65,40,13,60,45,65,60,5,0,312.29303,.85559732,695000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27633,53750,1,0,40,24,60,1,0,0,0,0,0,1,0,0,1,176621.91,1,1,.61611778,0,1,0,0,0,0,0,1,137.76176,140.0042,0,1.0705557,0,0,1849,3.7841897,7.5229411,1.3862944,3.713572,4.1108737,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1018,1,2,7,1,2.9142001,2.9142001,0,1.8,156000,1551000,-.46689299,0,-.29578772,0,42,1,1,1,0,0,0,0,0,0,1,0,0,7,80,50,200,200,5,0,190.50305,.52192616,1551000,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27633,53750,0,0,80,200,15,1,1,0,1,0,1,1,0,1,1,182635.2,1,1,1.2154269,0,1,0,0,0,1,0,1,115.61481,116.6264,0,1.364611,1.364611,0,1764,3.7612002,7.4759059,2.0794415,4.3944492,2.7725887,1.0296195,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1018,1,2,7,1,.5,.29550001,0,6.1999998,320750,1048000,-.41303626,0,-.12802191,0,44,1,1,1,0,0,0,0,0,0,1,65,40,13,60,45,65,60,15,0,431.32404,1.1817096,708000,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27633,53750,1,0,40,24,60,1,1,0,0,0,0,1,0,1,1,176621.91,0,1,.61611778,0,1,0,0,0,0,0,1,137.76176,140.0042,0,.4054651,.25889674,0,1936,3.8066626,7.5688958,2.0794415,3.713572,4.1108737,1.974081,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
1201,1,2,11,1,4.1599998,4.1599998,0,11.55,235000,3531000,.50261861,0,.9163388,0,48,1,1,1,0,0,1,0,0,0,1,80,80,80,80,80,50,80,6,1,564.59015,1.5468223,1517000,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,17774,35616,0,0,80,50,50,1,1,0,1,1,0,1,1,0,1,182635.2,0,1,1.2932822,0,1,0,0,0,1,0,1,157.44553,156.51361,1,1.6409365,1.6409365,0,2304,3.8918202,7.742836,2.4849067,4.3944492,3.9318256,2.5297208,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1
1201,1,2,8,1,.38150001,.1582,0,2,252000,473000,-.48294926,0,-.21884181,0,51,1,1,1,9,0,1,0,0,0,1,130,80,10,130,40,130,130,9,1,528.19958,1.4471221,473000,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17774,35616,0,0,80,30,80,1,0,0,0,0,1,1,0,1,1,176621.91,0,1,-.24415798,1,0,0,0,0,0,1,0,153.1817,155.37019,1,.32316986,.14686707,0,2601,3.9512436,7.8640356,2.1972246,4.3944492,4.3944492,1.0986123,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1
1202,1,2,11,1,1.4045,1.0671999,0,3.4000001,166500,2332000,-.053642116,0,.097509243,0,48,1,1,1,6,0,1,0,0,0,0,80,80,80,80,80,50,80,5,1,376.76404,1.0322303,1142000,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,17774,35616,0,0,80,50,50,1,1,0,1,0,1,1,1,1,1,182635.2,0,1,1.2932822,0,1,0,0,0,1,0,1,157.44553,156.51361,0,.87734199,.72619504,0,2304,3.8918202,7.742836,2.4849067,4.3944492,3.9318256,1.4816046,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0
1202,1,2,9,1,.44420001,.2431,0,.40000001,94000,1036000,-.36490721,0,-.14285389,0,51,1,1,1,9,0,1,0,0,0,0,130,80,10,130,40,130,130,2,1,446.38571,1.2229745,1036000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17774,35616,0,0,80,30,80,0,1,0,1,0,1,1,0,1,1,176621.91,0,1,-.24415798,1,0,0,0,0,0,1,0,153.1817,155.37019,1,.36755553,.21760826,0,2601,3.9512436,7.8640356,2.3025851,4.3944492,4.3944492,.33647224,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1
1203,1,2,9,1,1.0969,1.0969,0,5.0999999,160250,3210000,.42051509,0,.81967574,0,28,1,1,1,9,0,0,0,0,0,1,80,80,80,80,80,50,80,4,1,451.58685,1.2372242,2360000,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,17774,35616,0,1,80,50,50,1,1,0,0,0,0,1,0,1,1,182635.2,0,1,1.2932822,0,1,0,0,0,1,0,1,157.44553,156.51361,1,.74046004,.74046004,0,784,3.3672957,6.6656837,2.3025851,4.3944492,3.9318256,1.8082888,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1
1203,1,2,8,1,.7992,.27759999,0,1,171100,385000,-.48294926,0,-.21884181,0,31,1,1,1,9,0,1,0,0,0,1,130,80,10,130,40,130,130,4,2,526.20935,1.4416695,385000,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17774,35616,0,1,80,30,80,1,0,0,0,0,0,1,0,1,1,176621.91,0,1,-.24415798,1,0,0,0,0,0,1,0,153.1817,155.37019,1,.58734214,.24498332,0,961,3.4657359,6.8690143,2.1972246,4.3944492,4.3944492,.69314718,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1
1207,1,2,11,1,.69999999,.5,0,5.1000004,75000,1545000,.034986377,0,.47135007,0,55,1,1,1,0,0,1,0,0,0,1,80,80,80,80,80,50,80,1,1,230.67703,.63199186,695000,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17774,35616,0,0,80,50,50,1,1,0,1,0,1,1,0,1,1,182635.2,1,1,1.2932822,0,1,0,0,0,1,0,1,157.44553,156.51361,0,.53062826,.4054651,0,3025,4.0253515,8.0149965,2.4849067,4.3944492,3.9318256,1.8082888,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
1207,1,2,10,1,.95770001,.42519999,0,2.8,154500,694000,-.41089076,0,-.17218825,0,68,1,1,1,0,0,1,0,0,0,1,130,80,10,130,40,130,130,5,1,385.26779,1.0555282,694000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17774,35616,0,0,80,30,80,1,1,0,1,0,1,1,0,1,1,176621.91,0,1,-.24415798,1,0,0,0,0,0,1,0,153.1817,155.37019,1,.67177033,.35431215,0,4624,4.2341065,8.4392319,2.3978953,4.3944492,4.3944492,1.3350011,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1
1209,1,2,9,1,1.5,1.5,0,3.4000001,131000,0,-.53460509,0,-.35370034,0,53,1,1,1,0,0,0,0,0,0,1,80,80,80,80,80,50,80,3,1,289.66141,.79359287,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,17774,35616,0,1,80,50,50,1,1,0,1,0,1,1,1,1,1,182635.2,1,1,1.2932822,0,1,0,0,0,1,0,1,157.44553,156.51361,0,.91629076,.91629076,0,2809,3.9889841,7.9409399,2.3025851,4.3944492,3.9318256,1.4816046,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
